task,family,method,classifier,regressor,preprocess,configId,configLabel,k,nPC,lambda,historyBins,bufferShort,bufferLong,smoothWin,meanRMSE,stdRMSE,meanAccuracy,stdAccuracy,meanTrainTimeSec,stdTrainTimeSec,meanTestTimeSec,stdTestTimeSec,meanTimePerPredictionMs,stdTimePerPredictionMs,meanTaskScore,stdTaskScore,numFolds,notes
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,17,nPC=400_lambda=10,NaN,400,10,15,NaN,NaN,NaN,18.688466394275,0.569593504515885,NaN,NaN,10.2311213808,0.161139730006978,3.0960093252,0.10619709760224,1.15821141823357,0.0252921724163837,17.1292206873675,0.520788295839585,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,18,nPC=500_lambda=10,NaN,500,10,15,NaN,NaN,NaN,18.6601091777583,0.482162244843477,NaN,NaN,11.0216950436,0.518821348135333,3.9634308388,0.179162651927512,1.48264653842105,0.0517496990956622,17.1904413438625,0.446418979202137,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,19,nPC=50_lambda=100,NaN,50,100,15,NaN,NaN,NaN,19.2021815416677,0.504285104743024,NaN,NaN,9.4600105716,0.345782825003508,2.047633312,0.109150111050499,0.765927679596047,0.0326830672230508,17.4867267187009,0.462009030211771,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,20,nPC=100_lambda=100,NaN,100,100,15,NaN,NaN,NaN,18.8990377668582,0.423895235734641,NaN,NaN,10.1401185842,0.711857256616609,2.4513119424,0.0771937647741216,0.917640687610518,0.0405064406495166,17.2542651844124,0.378586187808072,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,21,nPC=200_lambda=100,NaN,200,100,15,NaN,NaN,NaN,18.7735145202143,0.398752241903726,NaN,NaN,9.7033616932,0.285920007054585,2.4267188586,0.0606367935909312,0.90789853406522,0.00992782770077346,17.1388349540529,0.363535852793533,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,22,nPC=300_lambda=100,NaN,300,100,15,NaN,NaN,NaN,18.7294641322549,0.507113563714002,NaN,NaN,27.3711536624,39.7329347536729,5.1340340262,5.61675864381798,1.92530017134312,2.11309059137543,17.3699211216494,0.706431220543118,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,23,nPC=400_lambda=100,NaN,400,100,15,NaN,NaN,NaN,18.6537906297999,0.566967925487476,NaN,NaN,14.5674420042,7.3611655975201,5.1925783776,3.06740688880313,1.94541756710326,1.16315716347957,17.3076694045799,0.559968451317649,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,24,nPC=500_lambda=100,NaN,500,100,15,NaN,NaN,NaN,18.6213133556465,0.482501199207376,NaN,NaN,11.854871054,8.16978619464837,3.705990757,2.08099679534216,1.38968598884081,0.779109764299002,17.1297810957818,0.246724749197169,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,25,nPC=50_lambda=1e+03,NaN,50,1000,15,NaN,NaN,NaN,19.0124113388773,0.470802049097451,NaN,NaN,3.5832980908,0.560880532820086,0.644240111,0.0556303563004959,0.240905517918726,0.0179845372881908,17.1755942160895,0.42678205937456,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,26,nPC=100_lambda=1e+03,NaN,100,1000,15,NaN,NaN,NaN,18.7326542782791,0.399566793302452,NaN,NaN,3.928046885,0.238458120331505,0.7930815798,0.0268924656190747,0.296741410596027,0.00883107673128504,16.9386970084311,0.361066878506855,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,27,nPC=200_lambda=1e+03,NaN,200,1000,15,NaN,NaN,NaN,18.5734233471909,0.384794388298078,NaN,NaN,4.028141976,0.133228704300919,0.887738842,0.0555553109457967,0.332220258835603,0.0213841105786344,16.8048548966718,0.346533963143521,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,28,nPC=300_lambda=1e+03,NaN,300,1000,15,NaN,NaN,NaN,18.5102115599183,0.488332468953369,NaN,NaN,4.3603730958,0.150919377557722,1.0571980472,0.0431327075901807,0.39546708355279,0.0111204946238839,16.7649102086465,0.442832807592158,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,29,nPC=400_lambda=1e+03,NaN,400,1000,15,NaN,NaN,NaN,18.4204205328073,0.541116937331935,NaN,NaN,4.2172755578,0.245374645171776,1.2318188834,0.0485019799305595,0.460964175810213,0.0187550539908779,16.7015603678666,0.488700957798945,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
regressor_pooled,regressor_screening,pooled_ridge_pcr,none,ridge_pcr,20ms_bins_anscombe_16bin_history,30,nPC=500_lambda=1e+03,NaN,500,1000,15,NaN,NaN,NaN,18.3648753200748,0.481110335954289,NaN,NaN,4.4024305258,0.0990546071607674,1.3910267234,0.00639985061776368,0.520572350025234,0.00829865497699142,16.6674904604073,0.432656921581945,5,Shared pooled ridge-PCR screening baseline using the dameer_grader feature pipeline.
